model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
deit-base-patch16-224,imagenet-1k,"[(6, 7), (8, 9), (10, 11)]",3,0.5448333333333334,0.7761999999999999,70.19,0.23136666666666664,0.2352999999999999,22.916892404377503,identity,identity
deit-base-patch16-224,pneumoniamnist,"[(6, 7), (8, 9)]",2,0.8311965811965812,0.8194444444444445,101.43,-0.011752136752136667,-0.001602564102564,15.277928269585004,identity,identity
deit-base-patch16-224,pneumoniamnist,"[(1, 2), (3, 4)]",2,0.8306623931623932,0.8194444444444445,101.37,-0.011217948717948635,-0.0048076923076922,15.277928269585004,identity,identity
deit-base-patch16-224,pneumoniamnist,"[(7, 8), (9, 10)]",2,0.829594017094017,0.8194444444444445,101.24,-0.010149572649572633,0.001602564102564,15.277928269585004,identity,identity
deit-base-patch16-224,pneumoniamnist,"[(0, 1), (2, 3)]",2,0.8253205128205128,0.8194444444444445,100.72,-0.005876068376068266,-0.0032051282051281,15.277928269585004,identity,identity
deit-base-patch16-224,pneumoniamnist,"[(8, 9), (10, 11)]",2,0.8237179487179488,0.8194444444444445,100.52,-0.0042735042735042,0.0,15.277928269585004,identity,identity
deit-base-patch16-224,pneumoniamnist,"[(6, 7), (8, 9), (10, 11)]",3,0.8183760683760685,0.8194444444444445,99.87,0.0010683760683761329,0.0128205128205128,22.916892404377503,identity,identity
deit-small-patch16-224,cifar100,"[(8, 9), (10, 11)]",2,0.7130333333333333,0.7124666666666667,100.08,-0.0005666666666667,0.0021999999999999,15.278078338022071,identity,identity
deit-small-patch16-224,cifar100,"[(4, 5), (6, 7)]",2,0.6809333333333333,0.7124666666666667,95.57,0.0315333333333333,0.0359,15.278078338022071,identity,identity
deit-small-patch16-224,imagenet-1k,"[(8, 9), (10, 11)]",2,0.6796666666666668,0.7374333333333333,92.17,0.0577666666666666,0.0595,15.278078338022071,identity,identity
deit-small-patch16-224,imagenet-1k,"[(4, 5), (6, 7)]",2,0.6643666666666667,0.7374333333333333,90.09,0.0730666666666666,0.0753,15.278078338022071,identity,identity
deit-small-patch16-224,pneumoniamnist,"[(4, 5), (6, 7)]",2,0.8087606837606837,0.7857905982905983,102.92,-0.022970085470085434,-0.0208333333333333,15.278078338022071,identity,identity
deit-small-patch16-224,pneumoniamnist,"[(8, 9), (10, 11)]",2,0.7943376068376069,0.7857905982905983,101.09,-0.008547008547008501,-0.001602564102564,15.278078338022071,identity,identity
rad-dino,cifar100,"[(0, 1), (2, 3)]",2,0.30373333333333336,0.2903,104.63,-0.013433333333333268,-0.0121,15.278229155382226,identity,identity
rad-dino,imagenet-1k,"[(0, 1), (2, 3)]",2,0.0794,0.07533333333333334,105.4,-0.004066666666666633,0.0003,15.278229155382226,identity,identity
rad-dino,pneumoniamnist,"[(0, 1), (2, 3)]",2,0.8835470085470085,0.8878205128205128,99.52,0.004273504273504167,0.0064102564102563,15.278229155382226,identity,identity
vit-base-patch16-224,cifar100,"[(7, 8), (9, 10)]",2,0.7952,0.8315666666666667,95.63,0.036366666666666596,0.0392,15.277928269585004,identity,identity
vit-base-patch16-224,cifar100,"[(6, 7), (8, 9)]",2,0.7876,0.8315666666666667,94.71,0.0439666666666666,0.0519,15.277928269585004,identity,identity
vit-base-patch16-224,cifar100,"[(8, 9), (10, 11)]",2,0.7854333333333333,0.8315666666666667,94.45,0.04613333333333327,0.048,15.277928269585004,identity,identity
vit-base-patch16-224,cifar100,"[(5, 6), (7, 8)]",2,0.7826666666666666,0.8315666666666667,94.12,0.04889999999999994,0.0499999999999999,15.277928269585004,identity,identity
vit-base-patch16-224,cifar100,"[(5, 6), (7, 8), (9, 10)]",3,0.7616666666666667,0.8315666666666667,91.59,0.06989999999999996,0.0728999999999999,22.916892404377503,identity,identity
vit-base-patch16-224,cifar100,"[(6, 7), (8, 9), (10, 11)]",3,0.7568666666666667,0.8315666666666667,91.02,0.07469999999999989,0.0786999999999999,22.916892404377503,identity,identity
vit-base-patch16-224,imagenet-1k,"[(5, 6), (7, 8)]",2,0.6669333333333333,0.7687666666666667,86.75,0.10183333333333329,0.1060999999999999,15.277928269585004,identity,identity
vit-base-patch16-224,imagenet-1k,"[(6, 7), (8, 9)]",2,0.6418666666666667,0.7687666666666667,83.49,0.12689999999999993,0.1301,15.277928269585004,identity,identity
vit-base-patch16-224,imagenet-1k,"[(7, 8), (9, 10)]",2,0.6042666666666666,0.7687666666666667,78.6,0.16449999999999995,0.1646,15.277928269585004,identity,identity
vit-base-patch16-224,imagenet-1k,"[(8, 9), (10, 11)]",2,0.5770333333333334,0.7687666666666667,75.06,0.1917333333333333,0.1967999999999999,15.277928269585004,identity,identity
vit-base-patch16-224,imagenet-1k,"[(5, 6), (7, 8), (9, 10)]",3,0.5357333333333333,0.7687666666666667,69.69,0.23303333333333334,0.238,22.916892404377503,identity,identity
vit-base-patch16-224,imagenet-1k,"[(6, 7), (8, 9), (10, 11)]",3,0.5012,0.7687666666666667,65.2,0.2675666666666667,0.2678,22.916892404377503,identity,identity
vit-base-patch16-224,pneumoniamnist,"[(6, 7), (8, 9), (10, 11)]",3,0.8381410256410257,0.8263888888888888,101.42,-0.011752136752136733,-0.0032051282051283,22.916892404377503,identity,identity
vit-base-patch16-224,pneumoniamnist,"[(5, 6), (7, 8), (9, 10)]",3,0.8338675213675213,0.8263888888888888,100.9,-0.007478632478632466,0.001602564102564,22.916892404377503,identity,identity
vit-base-patch16-224,pneumoniamnist,"[(8, 9), (10, 11)]",2,0.8301282051282052,0.8263888888888888,100.45,-0.0037393162393162,0.0032051282051281,15.277928269585004,identity,identity
vit-base-patch16-224,pneumoniamnist,"[(5, 6), (7, 8)]",2,0.829594017094017,0.8263888888888888,100.39,-0.0032051282051281,-0.001602564102564,15.277928269585004,identity,identity
vit-base-patch16-224,pneumoniamnist,"[(7, 8), (9, 10)]",2,0.8290598290598291,0.8263888888888888,100.32,-0.0026709401709402,0.0048076923076922,15.277928269585004,identity,identity
vit-base-patch16-224,pneumoniamnist,"[(6, 7), (8, 9)]",2,0.8274572649572649,0.8263888888888888,100.13,-0.0010683760683761004,0.0080128205128204,15.277928269585004,identity,identity
vit-large-patch16-224,cifar100,"[(20, 21), (22, 23)]",2,0.8616,0.8637333333333334,99.75,0.0021333333333333,0.0054,7.6389453431970304,identity,identity
vit-large-patch16-224,cifar100,"[(19, 20), (21, 22)]",2,0.8603333333333333,0.8637333333333334,99.61,0.003399999999999967,0.0050999999999999,7.6389453431970304,identity,identity
vit-large-patch16-224,cifar100,"[(18, 19), (20, 21)]",2,0.8600666666666666,0.8637333333333334,99.58,0.003666666666666663,0.0079,7.6389453431970304,identity,identity
vit-large-patch16-224,cifar100,"[(8, 9), (10, 11)]",2,0.8591666666666667,0.8637333333333334,99.47,0.004566666666666633,0.0095,7.6389453431970304,identity,identity
vit-large-patch16-224,cifar100,"[(6, 7), (8, 9)]",2,0.8565999999999999,0.8637333333333334,99.17,0.0071333333333333,0.0092999999999999,7.6389453431970304,identity,identity
