config,identity_chestmnist_acc,identity_cifar100_acc,identity_imagenet-1k_acc,identity_pneumoniamnist_acc,linear_chestmnist_acc,linear_chestmnist_fitcifar100_acc,linear_chestmnist_fitimagenet-1k_acc,linear_chestmnist_fitpneumoniamnist_acc,linear_cifar100_acc,linear_imagenet-1k_acc,linear_pneumoniamnist_acc
"Encoder: microsoft/rad-dino, Block: [(0, 1), (2, 3)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6933535416573797,,,,0.6938438906967415,0.6522087995363973,0.6766816743190835,0.687825970668212,0.3077,0.0764,0.8814102564102564
"Encoder: microsoft/rad-dino, Block: [(0, 1)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6961173271519636,,,,0.6969197164891009,0.6933089644719832,0.6939330450675344,0.6976775286408416,0.3037,0.0764,0.8894230769230769
"Encoder: microsoft/rad-dino, Block: [(0, 4)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6922391120224669,,,,0.6402621138501315,0.6550171622163776,0.6257745285962645,0.6643783711496456,0.2904,0.0633,0.8766025641025641
"Encoder: microsoft/rad-dino, Block: [(2, 3)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6962510587081532,,,,0.6966968305621183,0.6858199973253689,0.6915704542415192,0.6930415013596042,0.3054,0.0766,0.8894230769230769
"Encoder: microsoft/rad-dino, Block: [(5, 6)], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6992377301297196,,,,0.695537823741809,0.6840369099095083,0.6831453662015781,0.692684883876432,0.2948,0.0764,0.8894230769230769
"Encoder: microsoft/rad-dino, Block: [], MLP: [], MLP Mode: identity, Attn: [], Heads: {}",0.6962956358935497,0.2927,0.0767,0.8846153846153846,0.6962956358935497,,,,,,
