block,bi_block,angdist_in_out
0,0.306338,0.255996
1,0.358145,0.278165
2,0.267887,0.238534
3,0.395104,0.293215
4,0.331167,0.266794
5,0.309322,0.257312
6,0.279443,0.243886
7,0.246963,0.228588
8,0.294498,0.250722
9,0.297416,0.252029
10,0.334884,0.268382
11,0.430873,0.307281

blocks_dropped,skip_from,skip_to,angdist
1,6,7,0.228588
2,6,8,0.305511
3,5,8,0.351956
4,6,10,0.377620
5,5,10,0.396519
6,4,10,0.435798
7,4,11,0.440437
8,3,11,0.460718
