block,bi_block,angdist_in_out
0,0.296539,0.251637
1,0.325655,0.264426
2,0.245800,0.228025
3,0.353331,0.276161
4,0.302064,0.254102
5,0.303338,0.254668
6,0.286706,0.247203
7,0.279698,0.244003
8,0.311860,0.258427
9,0.318703,0.261416
10,0.344110,0.272294
11,0.476343,0.324567

blocks_dropped,skip_from,skip_to,angdist
1,1,2,0.228025
2,1,3,0.312004
3,5,8,0.364404
4,0,4,0.391904
5,5,10,0.422386
6,0,6,0.447754
7,4,11,0.456619
8,0,8,0.464914
