block,bi_block,angdist_in_out
0,0.168457,0.187458
1,0.088653,0.135044
2,0.063875,0.114385
3,0.073615,0.122899
4,0.062913,0.113511
5,0.075272,0.124293
6,0.065538,0.115882
7,0.060520,0.111309
8,0.046287,0.097227
9,0.042907,0.093583
10,0.030405,0.078695
11,0.060756,0.111528

blocks_dropped,skip_from,skip_to,angdist
1,9,10,0.078695
2,8,10,0.125507
3,8,11,0.159679
4,7,11,0.182145
5,6,11,0.206059
6,5,11,0.218977
7,4,11,0.241879
8,3,11,0.269539
