block,bi_block,angdist_in_out
0,0.176290,0.191900
1,0.098773,0.142667
2,0.071388,0.121003
3,0.078511,0.126973
4,0.065690,0.116017
5,0.072671,0.122099
6,0.074118,0.123323
7,0.067399,0.117534
8,0.067446,0.117575
9,0.061425,0.112146
10,0.042926,0.093604
11,0.101663,0.144776

blocks_dropped,skip_from,skip_to,angdist
1,9,10,0.093604
2,8,10,0.147129
3,8,11,0.187035
4,7,11,0.201773
5,6,11,0.218639
6,5,11,0.235574
7,4,11,0.256465
8,3,11,0.282293
