block,bi_block,angdist_in_out
0,0.459829,0.318360
1,0.262734,0.236117
2,0.243800,0.227054
3,0.192553,0.200849
4,0.185338,0.196923
5,0.149535,0.176321
6,0.122637,0.159301
7,0.107045,0.148628
8,0.084788,0.132023
9,0.124154,0.160304
10,0.182984,0.195627
11,0.205955,0.207972

blocks_dropped,skip_from,skip_to,angdist
1,7,8,0.132023
2,6,8,0.201978
3,5,8,0.257216
4,5,9,0.303120
5,4,9,0.342047
6,5,11,0.381648
7,4,11,0.407264
8,3,11,0.438626
