block,bi_block,angdist_in_out
0,0.668420,0.392418
1,0.256868,0.233339
2,0.237705,0.224073
3,0.168131,0.187271
4,0.174265,0.190760
5,0.138430,0.169482
6,0.123012,0.159549
7,0.095585,0.140308
8,0.069096,0.119021
9,0.061203,0.111942
10,0.029885,0.078015
11,0.043404,0.094127

blocks_dropped,skip_from,skip_to,angdist
1,9,10,0.078015
2,9,11,0.133861
3,8,11,0.173348
4,7,11,0.216832
5,6,11,0.263018
6,5,11,0.301808
7,4,11,0.330264
8,3,11,0.373618
