block,bi_block,angdist_in_out
0,0.395248,0.293272
1,0.238526,0.224476
2,0.209841,0.209998
3,0.183749,0.196048
4,0.171830,0.189382
5,0.140147,0.170555
6,0.124503,0.160534
7,0.111181,0.151526
8,0.111205,0.151543
9,0.123201,0.159675
10,0.225689,0.218097
11,0.190750,0.199874

blocks_dropped,skip_from,skip_to,angdist
1,6,7,0.151526
2,6,8,0.216440
3,6,9,0.269806
4,5,9,0.311828
5,4,9,0.348980
6,3,9,0.389136
7,4,11,0.417155
8,1,9,0.440744
