block,bi_block,angdist_in_out
0,0.171529,0.189211
1,0.096991,0.141353
2,0.071123,0.120776
3,0.076315,0.125162
4,0.068038,0.118096
5,0.080557,0.128640
6,0.077508,0.126149
7,0.072083,0.121598
8,0.061181,0.111921
9,0.059360,0.110226
10,0.040251,0.090619
11,0.100936,0.144248

blocks_dropped,skip_from,skip_to,angdist
1,9,10,0.090619
2,8,10,0.143416
3,8,11,0.180634
4,7,11,0.198935
5,6,11,0.220336
6,5,11,0.231931
7,4,11,0.250406
8,3,11,0.271412
