block,bi_block,angdist_in_out
0,0.440748,0.311089
1,0.147794,0.175264
2,0.095737,0.140421
3,0.113650,0.153233
4,0.125946,0.161482
5,0.124391,0.160461
6,0.138401,0.169464
7,0.129227,0.163619
8,0.143974,0.172926
9,0.145358,0.173776
10,0.200995,0.205360
11,0.123061,0.159582

blocks_dropped,skip_from,skip_to,angdist
1,1,2,0.140421
2,1,3,0.229945
3,1,4,0.291535
4,7,11,0.339338
5,6,11,0.371172
6,5,11,0.396428
7,4,11,0.414042
8,3,11,0.430725
