block,bi_block,angdist_in_out
0,0.291535,0.249388
1,0.106552,0.148279
2,0.067108,0.117277
3,0.093161,0.138489
4,0.071172,0.120817
5,0.070498,0.120237
6,0.069109,0.119033
7,0.065558,0.115899
8,0.066210,0.116480
9,0.059822,0.110658
10,0.044041,0.094820
11,0.102611,0.145461

blocks_dropped,skip_from,skip_to,angdist
1,9,10,0.094820
2,8,10,0.148556
3,8,11,0.193301
4,7,11,0.210155
5,6,11,0.224859
6,5,11,0.241684
7,4,11,0.265414
8,3,11,0.299785
