block,bi_block,angdist_in_out
0,0.438864,0.310364
1,0.223181,0.216832
2,0.184057,0.196218
3,0.153635,0.178786
4,0.152939,0.178370
5,0.133762,0.166531
6,0.119745,0.157372
7,0.119211,0.157013
8,0.123146,0.159638
9,0.136341,0.168167
10,0.222472,0.216473
11,0.204039,0.206966

blocks_dropped,skip_from,skip_to,angdist
1,6,7,0.157013
2,5,7,0.225216
3,5,8,0.276918
4,5,9,0.320561
5,4,9,0.357543
6,3,9,0.395126
7,2,9,0.425199
8,1,9,0.445582
