block,bi_block,angdist_in_out
0,0.631437,0.379850
1,0.247773,0.228980
2,0.233305,0.221900
3,0.161283,0.183306
4,0.159008,0.181972
5,0.141882,0.171634
6,0.129913,0.164062
7,0.101634,0.144755
8,0.086687,0.133515
9,0.071093,0.120749
10,0.033491,0.082613
11,0.058194,0.109127

blocks_dropped,skip_from,skip_to,angdist
1,9,10,0.082613
2,9,11,0.144638
3,8,11,0.186440
4,7,11,0.232025
5,6,11,0.271583
6,5,11,0.310666
7,4,11,0.339484
8,3,11,0.371821
