block,bi_block,angdist_in_out
0,0.517422,0.339700
1,0.256036,0.232943
2,0.288046,0.247811
3,0.198207,0.203880
4,0.186308,0.197454
5,0.140725,0.170915
6,0.126176,0.161633
7,0.103516,0.146113
8,0.089293,0.135537
9,0.123236,0.159698
10,0.220335,0.215389
11,0.159687,0.182371

blocks_dropped,skip_from,skip_to,angdist
1,7,8,0.135537
2,6,8,0.201337
3,6,9,0.259712
4,5,9,0.305272
5,4,9,0.345229
6,5,11,0.379474
7,4,11,0.405189
8,3,11,0.438020
