block,bi_block,angdist_in_out
0,0.303116,0.254569
1,0.372786,0.284195
2,0.279206,0.243777
3,0.400132,0.295220
4,0.348025,0.273941
5,0.313733,0.259248
6,0.279080,0.243720
7,0.278265,0.243345
8,0.313434,0.259117
9,0.331128,0.266778
10,0.383278,0.288460
11,0.431526,0.307534

blocks_dropped,skip_from,skip_to,angdist
1,6,7,0.243345
2,5,7,0.314556
3,5,8,0.360711
4,0,4,0.397419
5,5,10,0.411635
6,5,11,0.442074
7,4,11,0.449336
8,3,11,0.467916
