block,bi_block,angdist_in_out
0,0.517006,0.339549
1,0.165620,0.185826
2,0.122945,0.159505
3,0.122933,0.159497
4,0.192441,0.200788
5,0.209439,0.209789
6,0.177737,0.192711
7,0.148927,0.175952
8,0.138404,0.169465
9,0.106576,0.148296
10,0.119988,0.157534
11,0.095772,0.140447

blocks_dropped,skip_from,skip_to,angdist
1,10,11,0.140447
2,9,11,0.210307
3,8,11,0.263181
4,7,11,0.312380
5,6,11,0.348322
6,5,11,0.385792
7,4,11,0.414903
8,3,11,0.436624
