metric,spearman_corr,spearman_pval,precision@3,precision@5
kl_div,0.2183794466403162,0.31679961487715685,0.0,0.4
top1_flip_pct,0.2141445162287873,0.32650713117906277,0.0,0.2
knn_overlap@5,-0.2845849802371542,0.18813339830503945,0.0,0.4
cosine_sim,-0.27964426877470355,0.19625242340232063,0.0,0.4
mse,0.2648221343873518,0.2220234550460932,0.0,0.4
cka_embed,-0.26877470355731226,0.2149422639122277,0.0,0.4
local_cka,-0.18577075098814227,0.39606780480954484,0.0,0.0
