skip_from,skip_to,kl_div,top1_flip_pct,knn_overlap@5,cosine_sim,mse,cka_embed,local_cka,true_delta_acc
0.0,1.0,2.788189649581909,100.0,0.0187999999999999,-0.045155968517065,3.7355260848999023,0.0691420659422874,0.607306957244873,0.11116666666666675
1.0,2.0,2.6995794773101807,99.59999918937685,0.0212,-0.0068683689460158,3.087193250656128,0.0787239894270896,0.8895589709281921,0.040233333333333454
2.0,3.0,1.8936984539031985,80.59999942779541,0.0687999999999999,0.1304046064615249,2.974984645843506,0.2752150595188141,0.9131816625595092,0.0070666666666667766
3.0,4.0,0.9189484119415284,44.200000166893005,0.1392000000000003,0.1821111440658569,2.44455623626709,0.3002665340900421,0.8461267352104187,0.010466666666666846
4.0,5.0,0.9379525780677797,40.40000140666962,0.1408000000000003,0.1554143577814102,2.9022841453552246,0.3257668912410736,0.7935590147972107,0.01873333333333349
5.0,6.0,1.0971448421478271,52.60000228881836,0.1208000000000003,0.1729226112365722,2.5394465923309326,0.2684201002120971,0.936424970626831,0.03376666666666672
6.0,7.0,0.815462589263916,35.19999980926514,0.1984000000000008,0.3034952282905578,1.950696587562561,0.4406611025333404,0.9666695594787598,0.0344000000000001
7.0,8.0,0.618533730506897,29.600000381469727,0.2204000000000009,0.3234993517398834,1.9776369333267207,0.4773871600627899,0.9572113156318665,0.044566666666666754
8.0,9.0,0.4867569208145141,21.60000056028366,0.2264000000000009,0.3192445039749145,2.146825790405273,0.4108707010746002,0.9607272744178772,0.04103333333333348
9.0,10.0,1.2830240726470947,51.39999985694885,0.1540000000000004,0.1309000551700592,2.8338329792022705,0.4374090433120727,0.9604202508926392,0.01770000000000005
10.0,11.0,0.7286170721054077,40.00000059604645,0.213200000000001,0.4093724489212036,1.7641111612319946,0.4981748163700104,0.9878862500190736,0.0004666666666667263
