skip_from,skip_to,kl_div,top1_flip_pct,knn_overlap@5,cosine_sim,mse,cka_embed,local_cka,true_delta_acc
0.0,1.0,6.4930853843688965,100.0,0.0291999999999999,0.0032779336906969,1.706876516342163,0.093941643834114,0.6416335105895996,0.01863333333333328
1.0,2.0,6.752824783325195,99.80000257492064,0.0403999999999999,0.0327480025589466,1.6076422929763794,0.1895722448825836,0.8983443975448608,0.010433333333333294
2.0,3.0,4.567015647888184,83.60000252723694,0.0988000000000001,0.2283453345298767,1.341765284538269,0.4121344685554504,0.9322863221168518,0.0040000000000000036
3.0,4.0,0.962297797203064,26.60000026226044,0.4319999999999996,0.6808850765228271,0.5901831984519958,0.6837121248245239,0.9357425570487976,0.0027333333333333654
4.0,5.0,0.4566237330436706,17.20000058412552,0.5560000000000005,0.7929816842079163,0.4055517613887787,0.7538607120513916,0.928965151309967,0.5653333333333334
5.0,6.0,6.470211982727051,99.19999837875366,0.0751999999999999,0.0139369312673807,1.4391679763793943,0.3223724961280823,0.2056925445795059,0.6245333333333334
6.0,7.0,6.372724533081055,99.80000257492064,0.0896000000000001,0.0311925336718559,1.63191020488739,0.1876239031553268,0.8813913464546204,0.008900000000000019
7.0,8.0,0.178445890545845,10.80000028014183,0.6908000000000026,0.9068880081176758,0.2268697768449783,0.8260526657104492,0.9999898672103882,0.0032333333333333103
8.0,9.0,0.1371798068284988,8.60000029206276,0.6996000000000032,0.9132500886917114,0.2174430191516876,0.8278431296348572,0.9999920129776,0.010233333333333317
9.0,10.0,0.1030162349343299,7.800000160932541,0.7232000000000034,0.9249688982963562,0.1982952207326889,0.8376612067222595,0.9999929070472716,0.0077666666666665884
10.0,11.0,0.1471907049417495,11.400000005960464,0.7028000000000033,0.916031002998352,0.2121246457099914,0.8327683806419373,0.9999895095825196,0.008500000000000063
11.0,12.0,0.151345282793045,10.599999874830246,0.7164000000000034,0.9165488481521606,0.2123852372169494,0.8342453241348267,0.9999874830245972,0.009766666666666701
12.0,13.0,0.1376996487379074,8.20000022649765,0.7016000000000032,0.9091978073120116,0.2231444120407104,0.8278933167457581,0.9999821186065674,0.007033333333333336
13.0,14.0,0.0909888446331024,6.599999964237213,0.7252000000000037,0.9236997961997986,0.2003449946641922,0.8381367921829224,0.9999690055847168,0.004766666666666697
14.0,15.0,0.0508844368159771,5.999999865889549,0.7496000000000038,0.937606930732727,0.1797262579202652,0.8468498587608337,0.9999876022338868,0.0038999999999999035
15.0,16.0,0.0490115471184253,6.400000303983688,0.7568000000000036,0.9403290748596193,0.1751233637332916,0.8481930494308472,0.9999812841415404,0.003566666666666607
16.0,17.0,0.0470829084515571,5.799999833106995,0.7712000000000033,0.9488537311553956,0.1627847552299499,0.8479207158088684,0.9999925494194032,0.005966666666666676
17.0,18.0,0.0484203472733497,5.000000074505806,0.7704000000000035,0.9461705088615416,0.1668600589036941,0.848497211933136,0.9999955892562866,0.0066666666666664876
18.0,19.0,0.046845618635416,3.799999877810478,0.7612000000000038,0.9424312710762024,0.1723329126834869,0.8457064628601074,0.999992609024048,0.013433333333333297
19.0,20.0,0.0591300763189792,5.999999865889549,0.7392000000000036,0.93123596906662,0.1887221038341522,0.8415882587432861,0.9999938011169434,0.011833333333333251
20.0,21.0,0.1235622614622116,7.999999821186066,0.6876000000000024,0.9006085991859436,0.235417902469635,0.8203184604644775,0.9999879598617554,0.011533333333333395
21.0,22.0,0.1027364358305931,7.800000160932541,0.6868000000000031,0.8938642144203186,0.2454054355621338,0.8284977078437805,0.9999738335609436,0.01429999999999998
22.0,23.0,0.1351241916418075,7.999999821186066,0.6456000000000014,0.8443171977996826,0.3283773064613342,0.819631040096283,0.9999810457229614,0.0009333333333333416
