seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
2,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6116435608255695,0.624615521775955,-0.0129719609503855,250,0.5317166674096198,75577344,25.0
3,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6525654170195694,0.632149066107966,0.0204163509116034,250,0.5317166674096198,75577344,25.0
1,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.5803949538626131,0.6265323407480051,-0.046137386885392,250,0.5317166674096198,74527744,24.652806004931847
2,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6116435608255695,0.611955601123345,-0.0003120402977755,250,0.5317166674096198,74527744,24.652806004931847
3,chestmnist,chestmnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6525654170195694,0.6518967592386217,0.0006686577809477,250,0.5317166674096198,74527744,24.652806004931847
1,chestmnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.5803949538626131,0.6202915347924932,-0.0398965809298801,250,0.5317166674096198,74527744,24.652806004931847
2,chestmnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6116435608255695,0.6138724200953952,-0.0022288592698257,250,0.5317166674096198,74527744,24.652806004931847
3,chestmnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6525654170195694,0.6458788392100923,0.0066865778094771,250,0.5317166674096198,74527744,24.652806004931847
1,chestmnist,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.5803949538626131,0.5883742700485891,-0.007979316185976,250,0.5317166674096198,74527744,24.652806004931847
2,chestmnist,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(17, 23)]",[],[],{},identity,identity,6,0.6116435608255695,0.6207818838318548,-0.0091383230062853,250,0.5317166674096198,74527744,24.652806004931847
