skip_config,accuracy_mean,accuracy_std
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (19, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7049333333333333,0.002150193789716075
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (19, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7157666666666667,0.0014571661996262903
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (20, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7354666666666666,0.000873689494805391
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (20, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7396666666666668,0.0036855573979159588
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (21, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7558000000000001,0.002381176179958163
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (21, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.762,0.0032046840717924446
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7725666666666667,0.001550268793897757
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(3, 4)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7844666666666668,0.002079262689833433
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 8), (15, 16)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7680666666666666,0.000550757054728621
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 8), (15, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7738999999999999,0.0024515301344262847
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [17, 23], MLP Mode: identity, Attn: []",0.7836666666666666,0.003187998327059359
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [17, 23], MLP Mode: linear, Attn: []",0.7776,0.002645751311064572
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [18, 19, 20, 21, 22, 23], MLP Mode: identity, Attn: []",0.7255333333333333,0.0037859388972001956
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [18, 19, 20, 21, 22, 23], MLP Mode: linear, Attn: []",0.7337333333333333,0.0005033222956847108
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [23], MLP Mode: identity, Attn: []",0.7848,0.003764306044943712
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [23], MLP Mode: linear, Attn: []",0.7813333333333333,0.001059874206372303
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [3, 4, 19, 20, 21, 22, 23], MLP Mode: identity, Attn: []",0.7084,0.003567912554982292
