skip_config,accuracy_mean,accuracy_std,order
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(18, 19), (20, 21), (22, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7421666666666668,0.0037846179904098176,84
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 7), (8, 9), (10, 11), (12, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7251,0.003119294792096452,87
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 8), (9, 10), (11, 12), (13, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7221000000000001,0.002291287847477928,90
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 9), (10, 11), (12, 13), (14, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7305666666666667,0.0031134118476894897,93
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 10), (11, 12), (13, 14), (15, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7284,0.0019924858845171804,96
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 11), (12, 13), (14, 15), (16, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7343333333333333,0.0031214312956291627,99
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 12), (13, 14), (15, 16), (17, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7312,0.002621068484416266,102
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 13), (14, 15), (16, 17), (18, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7292333333333333,0.00045092497528226744,105
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 14), (15, 16), (17, 18), (19, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7173333333333334,0.002196208854670558,108
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(14, 15), (16, 17), (18, 19), (20, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7163333333333334,0.0014468356276139997,111
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(15, 16), (17, 18), (19, 20), (21, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7113999999999999,0.004622769732530488,114
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(16, 17), (18, 19), (20, 21), (22, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7213333333333334,0.0032501282025996204,117
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 7), (8, 9), (10, 11), (12, 13), (14, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7094666666666667,0.0005131601439447473,120
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 8), (9, 10), (11, 12), (13, 14), (15, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7000333333333333,0.001692138686199574,123
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 9), (10, 11), (12, 13), (14, 15), (16, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7112333333333334,0.002640706976045096,126
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 10), (11, 12), (13, 14), (15, 16), (17, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7012333333333333,0.0021939310229206086,129
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 11), (12, 13), (14, 15), (16, 17), (18, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7044666666666667,0.0012503332889007327,132
