skip_config,accuracy_mean,accuracy_std,order
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [1, 3], MLP Mode: identity, Attn: []",0.5196,0.010313098467482977,102
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [1, 3], MLP Mode: linear, Attn: []",0.836,0.004765501022977538,105
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1, 3]",0.43006666666666665,0.013820395556326604,108
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [(0, 1)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7949666666666667,0.003992910383834432,111
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [(0, 1)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.8605333333333333,0.002409010862020549,114
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [1], MLP Mode: identity, Attn: []",0.8118,0.0021794494717703706,117
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [1], MLP Mode: linear, Attn: []",0.8606666666666666,0.003523256069793013,120
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1]",0.8389666666666667,0.0024440403706430212,123
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [(2, 3)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.47956666666666664,0.012850810609970603,126
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [(2, 3)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.8609666666666667,0.0020599352740640117,129
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [3], MLP Mode: identity, Attn: []",0.6013333333333333,0.006754504669724768,132
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [3], MLP Mode: linear, Attn: []",0.8603999999999999,0.0035085609585697036,135
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [3]",0.5649666666666667,0.005312563725107988,138
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: linear, Attn: []",0.8637333333333334,0.002514623895005656,141
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(2, 4), (18, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7411666666666666,0.0007571877794400642,144
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(2, 4), (18, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.8402666666666666,0.0005507570547285815,147
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [3, 4, 19, 20, 21, 22, 23], MLP Mode: identity, Attn: []",0.8245999999999999,0.0011135528725659915,150
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [3, 4, 19, 20, 21, 22, 23], MLP Mode: linear, Attn: []",0.8481666666666667,0.0027153882472555017,153
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [3, 4, 19, 20, 21, 22, 23]",0.7291666666666666,0.004670474636836501,156
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(17, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.8553000000000001,0.004592385001282028,159
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(17, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.8508333333333334,0.006200268811376901,162
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [18, 19, 20, 21, 22, 23], MLP Mode: identity, Attn: []",0.8605999999999999,0.0027874719729533205,165
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [18, 19, 20, 21, 22, 23], MLP Mode: linear, Attn: []",0.8614333333333333,0.002857154761879956,168
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [18, 19, 20, 21, 22, 23]",0.8369333333333334,0.0064345422007578345,171
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 4), (19, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.8410666666666667,0.002081665999466097,174
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 4), (19, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.8578666666666667,0.005651843357112167,177
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [4, 20, 21, 22, 23], MLP Mode: identity, Attn: []",0.8511666666666667,0.002542308662089081,180
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [4, 20, 21, 22, 23], MLP Mode: linear, Attn: []",0.8598,0.0016000000000000458,183
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4, 20, 21, 22, 23]",0.8383333333333333,0.002040424792373761,186
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 4), (20, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.8457333333333333,0.0033005050118630535,189
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 4), (20, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.8630666666666666,0.004359281286328456,192
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [4, 21, 22, 23], MLP Mode: identity, Attn: []",0.8538333333333333,0.0024664414311581445,195
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [4, 21, 22, 23], MLP Mode: linear, Attn: []",0.8624666666666667,0.0045544849690533715,198
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4, 21, 22, 23]",0.8410333333333333,0.0007505553499465018,201
