skip_config,accuracy_mean,accuracy_std,order
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.214,0.0032449961479175792,93
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.22516666666666665,0.004450093631973744,96
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2295,0.006486139067272607,99
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 9)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7743333333333333,0.0014153915830374562,102
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7629333333333334,0.0012858201014657182,105
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7391333333333333,0.0024906491790963243,108
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7027666666666667,0.005669509091035467,111
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6512,0.0027999999999999852,114
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5904333333333334,0.0008621678104251167,117
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5283,0.0002645751311064299,120
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.467,0.0019697715603592294,123
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.40020000000000006,0.006582552696332948,126
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.35413333333333336,0.0019553345834750226,129
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.3156333333333334,0.0032516662395352548,132
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2920666666666667,0.0009291573243177721,135
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2608,0.0021166010488516676,138
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.27066666666666667,0.003900427327016006,141
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.258,0.006009991680526705,144
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7768,0.0028213471959332172,147
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7571333333333333,0.003722006627255445,150
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7315999999999999,0.0020663978319771853,153
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6992333333333334,0.00025166114784240415,156
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6529333333333333,0.0004932882862315958,159
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6077,0.002696293752542516,162
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5524333333333334,0.00337095436535907,165
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.48166666666666663,0.0045092497528228985,168
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.42816666666666664,0.004178915329763601,171
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.3858,0.004003748243833551,174
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.3465,0.0019974984355438023,177
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.3086,0.0010535653752852686,180
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.30873333333333336,0.0034078341117685434,183
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.29573333333333335,0.005788206400374217,186
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7760666666666666,0.0021385353243127386,189
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7585333333333333,0.0007094598884597556,192
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7387,0.002029778313018439,195
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7111999999999999,0.0027404379212089573,198
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6732666666666667,0.002441993720985673,201
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6384,0.002271563338320061,204
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5779666666666666,0.0031501322723551366,207
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5257333333333333,0.0010969655114602774,210
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.4739,0.0035594943461115464,213
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.42660000000000003,0.0018681541692269407,216
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.3748666666666667,0.0014153915830374727,219
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.3536333333333334,0.0020008331597945244,222
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.3273333333333333,0.003868246803570507,225
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7747999999999999,0.0032969683043669027,228
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7622666666666666,0.0012055427546683194,231
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7418333333333332,0.00317227573412737,234
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7189333333333333,0.0030138568866708536,237
