seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10, 11]",{},identity,identity,0,0.7211970074812968,0.7211970074812968,0.0,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10, 11]",{},identity,identity,0,0.7251870324189527,0.7261845386533666,-0.0009975062344139,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10]",{},identity,identity,0,0.7271820448877806,0.7201995012468828,0.0069825436408977,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10]",{},identity,identity,0,0.7211970074812968,0.714713216957606,0.0064837905236907,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10]",{},identity,identity,0,0.7251870324189527,0.7301745635910224,-0.0049875311720697,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[3],{},identity,identity,0,0.7271820448877806,0.7346633416458853,-0.0074812967581047,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[3],{},identity,identity,0,0.7211970074812968,0.7201995012468828,0.0009975062344139,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[3],{},identity,identity,0,0.7251870324189527,0.7291770573566084,-0.0039900249376557,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[11],{},identity,identity,0,0.7271820448877806,0.7221945137157108,0.0049875311720698,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[11],{},identity,identity,0,0.7211970074812968,0.7187032418952618,0.0024937655860349,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[11],{},identity,identity,0,0.7251870324189527,0.7231920199501247,0.0019950124688279,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 11)]",[],[],{},identity,identity,3,0.7271820448877806,0.7182044887780549,0.0089775561097257,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 11)]",[],[],{},identity,identity,3,0.7211970074812968,0.7226932668329177,-0.0014962593516208,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 11)]",[],[],{},identity,identity,3,0.7251870324189527,0.7336658354114713,-0.0084788029925186,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 10)]",[],[],{},identity,identity,2,0.7271820448877806,0.7296758104738155,-0.0024937655860348,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 10)]",[],[],{},identity,identity,2,0.7211970074812968,0.7246882793017456,-0.0034912718204488,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 10)]",[],[],{},identity,identity,2,0.7251870324189527,0.7301745635910224,-0.0049875311720697,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7271820448877806,0.7311720698254364,-0.0039900249376557,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7211970074812968,0.7246882793017456,-0.0034912718204488,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7251870324189527,0.7301745635910224,-0.0049875311720697,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7271820448877806,0.71571072319202,0.0114713216957605,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7211970074812968,0.7167082294264339,0.0044887780548629,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7251870324189527,0.7241895261845387,0.0009975062344139,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],{},linear,identity,0,0.7271820448877806,0.7281795511221946,-0.0009975062344139,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],{},linear,identity,0,0.7211970074812968,0.7231920199501247,-0.0019950124688279,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],{},linear,identity,0,0.7251870324189527,0.7276807980049875,-0.0024937655860348,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],{},linear,identity,0,0.7271820448877806,0.7251870324189527,0.0019950124688279,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],{},linear,identity,0,0.7211970074812968,0.7246882793017456,-0.0034912718204488,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],{},linear,identity,0,0.7251870324189527,0.7281795511221946,-0.0029925187032419,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],{},linear,identity,0,0.7271820448877806,0.7206982543640897,0.0064837905236908,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],{},linear,identity,0,0.7211970074812968,0.7162094763092269,0.0049875311720698,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],{},linear,identity,0,0.7251870324189527,0.7241895261845387,0.0009975062344139,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],{},linear,identity,0,0.7271820448877806,0.7246882793017456,0.0024937655860349,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],{},linear,identity,0,0.7211970074812968,0.7221945137157108,-0.0009975062344139,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],{},linear,identity,0,0.7251870324189527,0.7266832917705736,-0.0014962593516208,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],{},identity,identity,0,0.7216957605985037,0.7216957605985037,0.0,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],{},identity,identity,0,0.7321695760598503,0.7321695760598503,0.0,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[],{},identity,identity,0,0.7311720698254364,0.7311720698254364,0.0,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.7216957605985037,0.6394014962593516,0.0822942643391521,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.7321695760598503,0.7331670822942643,-0.0009975062344139,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.7311720698254364,0.7241895261845387,0.0069825436408976,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3), (4, 5)]",[],[],{},identity,identity,3,0.7216957605985037,0.6887780548628429,0.0329177057356607,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3), (4, 5)]",[],[],{},identity,identity,3,0.7321695760598503,0.7386533665835412,-0.0064837905236908,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3), (4, 5)]",[],[],{},identity,identity,3,0.7311720698254364,0.7331670822942643,-0.0019950124688279,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3)]",[],[],{},identity,identity,2,0.7216957605985037,0.629426433915212,0.0922693266832916,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3)]",[],[],{},identity,identity,2,0.7321695760598503,0.741645885286783,-0.0094763092269326,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3)]",[],[],{},identity,identity,2,0.7311720698254364,0.7007481296758105,0.0304239401496259,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7216957605985037,0.7481296758104738,-0.0264339152119701,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7321695760598503,0.7461346633416459,-0.0139650872817955,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7311720698254364,0.7296758104738155,0.0014962593516208,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7216957605985037,0.7291770573566084,-0.0074812967581047,250
