seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(4, 5)]",[],[],{},identity,identity,1,0.7463,0.5378,0.2085,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(4, 5)]",[],[],{},identity,identity,1,0.7375,0.5391,0.1984,250,0.0019,7089408,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(4, 5)]",[],[],{},identity,identity,1,0.7445,0.5395,0.205,250,0.0019,7089408,8.333333333333334
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(4, 5)]",[],[],{},identity,identity,1,0.7451,0.5374,0.2077,250,0.0019,7089408,8.333333333333334
5,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(4, 5)]",[],[],{},identity,identity,1,0.7419,0.5373,0.2046,250,0.0019,7089408,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7463,0.2928,0.4534999999999999,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7375,0.2936,0.4439,250,0.0019,7089408,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7445,0.2932,0.4513,250,0.0019,7089408,8.333333333333334
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7451,0.2947,0.4503999999999999,250,0.0019,7089408,8.333333333333334
5,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7419,0.2955,0.4464,250,0.0019,7089408,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(6, 7)]",[],[],{},identity,identity,1,0.7463,0.3201,0.4261999999999999,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(6, 7)]",[],[],{},identity,identity,1,0.7375,0.3218,0.4157,250,0.0019,7089408,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(6, 7)]",[],[],{},identity,identity,1,0.7445,0.331,0.4135,250,0.0019,7089408,8.333333333333334
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(6, 7)]",[],[],{},identity,identity,1,0.7451,0.3287,0.4164,250,0.0019,7089408,8.333333333333334
5,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(6, 7)]",[],[],{},identity,identity,1,0.7419,0.3262,0.4157,250,0.0019,7089408,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7463,0.504,0.2422999999999999,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7375,0.5043,0.2332,250,0.0019,7089408,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7445,0.5033,0.2412,250,0.0019,7089408,8.333333333333334
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7451,0.4979,0.2471999999999999,250,0.0019,7089408,8.333333333333334
