seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7864,0.7787,0.0077,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7835,0.7744,0.0090999999999999,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7838,0.7719,0.0119,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7864,0.7794,0.007,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7835,0.7774,0.0060999999999999,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7838,0.7729,0.0109,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7864,0.7779,0.0084999999999999,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7835,0.7746,0.0089,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7838,0.7731,0.0107,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7864,0.7731,0.0132999999999999,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7835,0.7789,0.0045999999999999,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7838,0.7739,0.0099,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(11, 12)]",[],[],{},identity,identity,1,0.7864,0.7755,0.0109,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(11, 12)]",[],[],{},identity,identity,1,0.7835,0.7749,0.0085999999999999,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(11, 12)]",[],[],{},identity,identity,1,0.7838,0.7726,0.0112,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(12, 13)]",[],[],{},identity,identity,1,0.7864,0.7737,0.0126999999999999,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(12, 13)]",[],[],{},identity,identity,1,0.7835,0.7756,0.0079,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(12, 13)]",[],[],{},identity,identity,1,0.7838,0.7731,0.0107,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(13, 14)]",[],[],{},identity,identity,1,0.7864,0.7763,0.0100999999999999,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(13, 14)]",[],[],{},identity,identity,1,0.7835,0.7759,0.0075999999999999,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(13, 14)]",[],[],{},identity,identity,1,0.7838,0.7769,0.0069,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(14, 15)]",[],[],{},identity,identity,1,0.7864,0.7778,0.0085999999999999,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(14, 15)]",[],[],{},identity,identity,1,0.7835,0.7782,0.0052999999999999,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(14, 15)]",[],[],{},identity,identity,1,0.7838,0.7811,0.0027,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(15, 16)]",[],[],{},identity,identity,1,0.7864,0.7787,0.0077,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(15, 16)]",[],[],{},identity,identity,1,0.7835,0.7763,0.0071999999999999,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(15, 16)]",[],[],{},identity,identity,1,0.7838,0.7781,0.0057,250,0.0019,12596224,4.166666666666667
