seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.8657,0.8499,0.0158,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.8646,0.8447,0.0199,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.8609,0.8479,0.013,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.8657,0.8514,0.0142999999999999,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.8646,0.8461,0.0185,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.8609,0.8445,0.0163999999999999,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.8657,0.844,0.0217,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.8646,0.853,0.0116,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.8609,0.8518,0.0090999999999999,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.8657,0.8502,0.0155,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(11, 12)]",[],[],{},identity,identity,1,0.8646,0.8567,0.0079,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(11, 12)]",[],[],{},identity,identity,1,0.8609,0.8513,0.0096,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(11, 12)]",[],[],{},identity,identity,1,0.8657,0.8558,0.0099,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(12, 13)]",[],[],{},identity,identity,1,0.8646,0.8539,0.0107,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(12, 13)]",[],[],{},identity,identity,1,0.8609,0.8491,0.0118,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(12, 13)]",[],[],{},identity,identity,1,0.8657,0.8512,0.0145,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(13, 14)]",[],[],{},identity,identity,1,0.8646,0.858,0.0066,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(13, 14)]",[],[],{},identity,identity,1,0.8609,0.8545,0.0063999999999999,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(13, 14)]",[],[],{},identity,identity,1,0.8657,0.8605,0.0051999999999999,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(14, 15)]",[],[],{},identity,identity,1,0.8646,0.8572,0.0074,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(14, 15)]",[],[],{},identity,identity,1,0.8609,0.8535,0.0073999999999999,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(14, 15)]",[],[],{},identity,identity,1,0.8657,0.8526,0.0131,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(15, 16)]",[],[],{},identity,identity,1,0.8646,0.8584,0.0061999999999999,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(15, 16)]",[],[],{},identity,identity,1,0.8609,0.8555,0.0053999999999999,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(15, 16)]",[],[],{},identity,identity,1,0.8657,0.8597,0.006,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(16, 17)]",[],[],{},identity,identity,1,0.8646,0.8608,0.0038,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(16, 17)]",[],[],{},identity,identity,1,0.8609,0.8625,-0.0016,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(16, 17)]",[],[],{},identity,identity,1,0.8657,0.8616,0.0040999999999999,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(17, 18)]",[],[],{},identity,identity,1,0.8646,0.8621,0.0025,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(17, 18)]",[],[],{},identity,identity,1,0.8609,0.8571,0.0038,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(17, 18)]",[],[],{},identity,identity,1,0.8657,0.8621,0.0036,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(18, 19)]",[],[],{},identity,identity,1,0.8646,0.8591,0.0055,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(18, 19)]",[],[],{},identity,identity,1,0.8609,0.8592,0.0017,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(18, 19)]",[],[],{},identity,identity,1,0.8657,0.8576,0.0080999999999999,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(19, 20)]",[],[],{},identity,identity,1,0.8646,0.8552,0.0094,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(19, 20)]",[],[],{},identity,identity,1,0.8609,0.8554,0.0054999999999999,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(19, 20)]",[],[],{},identity,identity,1,0.8657,0.8618,0.0039,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.8646,0.866,-0.0013999999999999,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.8609,0.8649,-0.004,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.8657,0.8633,0.0024,250,0.01,12596224,4.166666666666667
