model,dataset,approx_layer_str,translator_linear,accuracy_mean_linear,accuracy_std_linear,skip_distance,skip_count,first_skip,translator_identity,accuracy_mean_identity,accuracy_std_identity
facebook/dinov2-base,imagenet-1k,"[(1, 3)]",linear,0.70004,0.0035774292445833,1,2,1,identity,0.29174,0.0026463181970428
google/vit-base-patch16-224,pneumoniamnist,"[(1, 3)]",linear,0.8466880341880342,0.0187803374265459,1,2,1,identity,0.8552350427350427,0.00882623485142
google/vit-base-patch16-224,dermamnist,"[(1, 3)]",linear,0.7617622610141312,0.0074868364084441,1,2,1,identity,0.744970906068163,0.0032065339188671
google/vit-base-patch16-224,cifar100,"[(1, 3)]",linear,0.7367,0.0054442630355264,1,2,1,identity,0.5366333333333334,0.0016041612554021
google/vit-base-patch16-224,imagenet-1k,"[(1, 3)]",linear,0.6801333333333334,0.0041621308645132,1,2,1,identity,0.4680666666666666,0.0045621632295801
google/vit-large-patch16-224,pneumoniamnist,"[(1, 3)]",linear,0.8258547008547009,0.0122397855100316,1,2,1,identity,0.8167735042735043,0.0364150148870817
google/vit-large-patch16-224,cifar100,"[(1, 3)]",linear,0.8208000000000001,0.0046872166581031,1,2,1,identity,0.6260666666666667,0.0018339392937971
google/vit-large-patch16-224,dermamnist,"[(1, 3)]",linear,0.7594347464671655,0.006236076253869,1,2,1,identity,0.7321695760598503,0.0052071354159154
google/vit-large-patch16-224,imagenet-1k,"[(1, 3)]",linear,0.7539000000000001,0.0019974984355437,1,2,1,identity,0.7079,0.0010816653826391
microsoft/rad-dino,pneumoniamnist,"[(1, 3)]",linear,0.8787393162393163,0.006476685712063,1,2,1,identity,0.9001068376068376,0.006476685712063
microsoft/rad-dino,dermamnist,"[(1, 3)]",linear,0.7102244389027431,0.0095156030066528,1,2,1,identity,0.7112219451371571,0.007347092200826
microsoft/rad-dino,cifar100,"[(1, 3)]",linear,0.3008666666666666,0.004209908945967,1,2,1,identity,0.3109666666666666,0.0048603840726153
microsoft/rad-dino,imagenet-1k,"[(1, 3)]",linear,0.0809333333333333,0.0024846193538112,1,2,1,identity,0.0794333333333333,0.0008144527815247
facebook/deit-base-patch16-224,pneumoniamnist,"[(2, 4)]",linear,0.8397435897435898,0.004239986075424,1,2,2,identity,0.8258547008547009,0.0217579186478806
facebook/deit-base-patch16-224,dermamnist,"[(2, 4)]",linear,0.7496259351620947,0.0057519015434766,1,2,2,identity,0.7512884455527847,0.0018882488265337
facebook/deit-base-patch16-224,imagenet-1k,"[(2, 4)]",linear,0.7324333333333334,0.0016502525059314,1,2,2,identity,0.7134,0.002088061301782
facebook/deit-base-patch16-224,cifar100,"[(2, 4)]",linear,0.6816333333333334,0.0027465129406819,1,2,2,identity,0.6635666666666666,0.0034297716153314
facebook/deit-small-patch16-224,pneumoniamnist,"[(2, 4)]",linear,0.8018162393162394,0.0060672097711541,1,2,2,identity,0.8002136752136751,0.0051515228424107
facebook/deit-small-patch16-224,dermamnist,"[(2, 4)]",linear,0.7328345802161264,0.0030063410340856,1,2,2,identity,0.7192019950124688,0.002174014435681
facebook/deit-small-patch16-224,imagenet-1k,"[(2, 4)]",linear,0.6956333333333333,0.0006506407098648,1,2,2,identity,0.6323,0.0017058722109232
facebook/deit-small-patch16-224,cifar100,"[(2, 4)]",linear,0.6667666666666667,0.002569695182961,1,2,2,identity,0.6112000000000001,0.0026962937525425
facebook/dinov2-base,pneumoniamnist,"[(2, 4)]",linear,0.8584401709401709,0.0138167918337366,1,2,2,identity,0.8680555555555557,0.0271176071506347
facebook/dinov2-base,cifar100,"[(2, 4)]",linear,0.8091333333333334,0.0040525712002793,1,2,2,identity,0.2994,0.0160477412740859
facebook/dinov2-base,dermamnist,"[(2, 4)]",linear,0.7291770573566084,0.0362446330155095,1,2,2,identity,0.7044056525353284,0.0247239387464954
facebook/dinov2-base,imagenet-1k,"[(2, 4)]",linear,0.68658,0.0020680909070928,1,2,2,identity,0.09664,0.0040844828313998
google/vit-base-patch16-224,pneumoniamnist,"[(2, 4)]",linear,0.8376068376068376,0.0153990761809824,1,2,2,identity,0.8653846153846154,0.0142439013098005
google/vit-base-patch16-224,cifar100,"[(2, 4)]",linear,0.7576333333333333,0.0042003968066521,1,2,2,identity,0.6554666666666668,0.0051032669275017
google/vit-base-patch16-224,dermamnist,"[(2, 4)]",linear,0.7562759767248545,0.0017515633836828,1,2,2,identity,0.7541147132169576,0.0031147122186526
google/vit-base-patch16-224,imagenet-1k,"[(2, 4)]",linear,0.6848000000000001,0.0015874507866386,1,2,2,identity,0.6231333333333334,0.0011547005383792
google/vit-large-patch16-224,cifar100,"[(2, 4)]",linear,0.8453666666666667,0.0020108041509141,1,2,2,identity,0.7398333333333333,0.0026764404221527
google/vit-large-patch16-224,pneumoniamnist,"[(2, 4)]",linear,0.8327991452991453,0.0218756359288923,1,2,2,identity,0.8317307692307692,0.0131175525190263
google/vit-large-patch16-224,dermamnist,"[(2, 4)]",linear,0.7652535328345803,0.0062758390983131,1,2,2,identity,0.7524522028262677,0.0040621086360334
google/vit-large-patch16-224,imagenet-1k,"[(2, 4)]",linear,0.7644666666666667,0.0018556220879621,1,2,2,identity,0.7308333333333333,0.0016072751268321
microsoft/rad-dino,pneumoniamnist,"[(2, 4)]",linear,0.8728632478632479,0.0066720064085452,1,2,2,identity,0.8787393162393163,0.0056280201671221
microsoft/rad-dino,dermamnist,"[(2, 4)]",linear,0.7098919368246052,0.0137617303983872,1,2,2,identity,0.7060681629260183,0.0015237159417974
microsoft/rad-dino,cifar100,"[(2, 4)]",linear,0.3003666666666666,0.0067002487516011,1,2,2,identity,0.3091666666666666,0.0039878983604567
microsoft/rad-dino,imagenet-1k,"[(2, 4)]",linear,0.0802,0.0039357337308308,1,2,2,identity,0.0801333333333333,0.0011846237095944
facebook/deit-base-patch16-224,pneumoniamnist,"[(3, 5)]",linear,0.8237179487179488,0.0152874872021946,1,2,3,identity,0.8055555555555557,0.0206683142330696
facebook/deit-base-patch16-224,dermamnist,"[(3, 5)]",linear,0.7514546965918537,0.0054938359573926,1,2,3,identity,0.7356608478802992,0.0103783800731594
facebook/deit-base-patch16-224,imagenet-1k,"[(3, 5)]",linear,0.7371666666666666,0.0006027713773341,1,2,3,identity,0.7178666666666667,0.0020305992547356
facebook/deit-base-patch16-224,cifar100,"[(3, 5)]",linear,0.6767,0.0042883563284783,1,2,3,identity,0.6587333333333333,0.0038370995990895
facebook/deit-small-patch16-224,pneumoniamnist,"[(3, 5)]",linear,0.7841880341880342,0.00882623485142,1,2,3,identity,0.8141025641025642,0.0048076923076922
facebook/deit-small-patch16-224,dermamnist,"[(3, 5)]",linear,0.7271820448877806,0.0057519015434766,1,2,3,identity,0.7135494596841231,0.0016032669594335
facebook/deit-small-patch16-224,imagenet-1k,"[(3, 5)]",linear,0.6828333333333334,0.0010969655114602,1,2,3,identity,0.6389333333333332,0.0010692676621563
facebook/deit-small-patch16-224,cifar100,"[(3, 5)]",linear,0.6641666666666667,0.0034645827069552,1,2,3,identity,0.5920000000000001,0.001539480431834
facebook/dinov2-base,pneumoniamnist,"[(3, 5)]",linear,0.8664529914529915,0.0171356997140442,1,2,3,identity,0.8402777777777778,0.0333600320427264
facebook/dinov2-base,cifar100,"[(3, 5)]",linear,0.7830666666666667,0.0012220201853215,1,2,3,identity,0.3680666666666667,0.0108518815572845
facebook/dinov2-base,dermamnist,"[(3, 5)]",linear,0.7394846217788862,0.0099041536216834,1,2,3,identity,0.7333333333333334,0.0069884786556886
facebook/dinov2-base,imagenet-1k,"[(3, 5)]",linear,0.6832800000000001,0.0033417061510551,1,2,3,identity,0.18646,0.0046891363810407
google/vit-base-patch16-224,pneumoniamnist,"[(3, 5)]",linear,0.8418803418803419,0.0227390989890948,1,2,3,identity,0.8477564102564102,0.002775722448027
google/vit-base-patch16-224,dermamnist,"[(3, 5)]",linear,0.7544472152950955,0.0032065339188671,1,2,3,identity,0.7537822111388196,0.0050453835097235
google/vit-base-patch16-224,cifar100,"[(3, 5)]",linear,0.7192999999999999,0.0089599107138408,1,2,3,identity,0.6672333333333333,0.0015307950004273
google/vit-base-patch16-224,imagenet-1k,"[(3, 5)]",linear,0.5915333333333334,0.0020428737928059,1,2,3,identity,0.6213000000000001,0.0027838821814149
google/vit-large-patch16-224,pneumoniamnist,"[(3, 5)]",linear,0.8028846153846154,0.0426715607554306,1,2,3,identity,0.8547008547008547,0.0209153546479186
google/vit-large-patch16-224,dermamnist,"[(3, 5)]",linear,0.7155444721529509,0.0022490023704852,1,2,3,identity,0.7527847049044056,0.0066417238089569
google/vit-large-patch16-224,cifar100,"[(3, 5)]",linear,0.4769333333333334,0.0134515178821326,1,2,3,identity,0.7771666666666667,0.0035104605585782
google/vit-large-patch16-224,imagenet-1k,"[(3, 5)]",linear,0.2539333333333333,0.0031214312956292,1,2,3,identity,0.7375333333333334,0.0025579940057266
microsoft/rad-dino,pneumoniamnist,"[(3, 5)]",linear,0.8814102564102564,0.002775722448027,1,2,3,identity,0.8969017094017094,0.0033360032042726
microsoft/rad-dino,dermamnist,"[(3, 5)]",linear,0.7034081463009144,0.0103943468211741,1,2,3,identity,0.711055694098088,0.0089960094819409
microsoft/rad-dino,cifar100,"[(3, 5)]",linear,0.2972333333333333,0.0050934598588124,1,2,3,identity,0.3020666666666666,0.0069572504147351
microsoft/rad-dino,imagenet-1k,"[(3, 5)]",linear,0.0791333333333333,0.0023501772982763,1,2,3,identity,0.081,0.0002999999999999
facebook/deit-base-patch16-224,pneumoniamnist,"[(4, 6)]",linear,0.8274572649572649,0.018984354320424,1,2,4,identity,0.8103632478632479,0.014363600063834
facebook/deit-base-patch16-224,dermamnist,"[(4, 6)]",linear,0.744970906068163,0.00673470626784,1,2,4,identity,0.7231920199501247,0.0077427305218254
facebook/deit-base-patch16-224,imagenet-1k,"[(4, 6)]",linear,0.7249,0.0025942243542145,1,2,4,identity,0.7026666666666667,0.0007094598884597
facebook/deit-base-patch16-224,cifar100,"[(4, 6)]",linear,0.6741,0.0023895606290697,1,2,4,identity,0.6381333333333333,0.0048521472909767
facebook/deit-small-patch16-224,pneumoniamnist,"[(4, 6)]",linear,0.80982905982906,0.0033360032042726,1,2,4,identity,0.8130341880341879,0.0075734224779688
facebook/deit-small-patch16-224,dermamnist,"[(4, 6)]",linear,0.7251870324189525,0.0042613485014052,1,2,4,identity,0.7290108063175396,0.0032065339188671
facebook/deit-small-patch16-224,imagenet-1k,"[(4, 6)]",linear,0.6408333333333333,0.0018583146486355,1,2,4,identity,0.6232000000000001,0.0008888194417315
facebook/deit-small-patch16-224,cifar100,"[(4, 6)]",linear,0.6359333333333334,0.0015821925715074,1,2,4,identity,0.6057333333333333,0.0008962886439832
facebook/dinov2-base,pneumoniamnist,"[(4, 6)]",linear,0.8766025641025642,0.001602564102564,1,2,4,identity,0.859508547008547,0.0161321248616896
facebook/dinov2-base,cifar100,"[(4, 6)]",linear,0.8212666666666667,0.0027006172134038,1,2,4,identity,0.4050666666666666,0.0026159765544311
facebook/dinov2-base,dermamnist,"[(4, 6)]",linear,0.7361596009975062,0.0124088332215707,1,2,4,identity,0.7102244389027431,0.0311471221865256
facebook/dinov2-base,imagenet-1k,"[(4, 6)]",linear,0.7007,0.0038366652186501,1,2,4,identity,0.12854,0.0022645087767549
google/vit-base-patch16-224,pneumoniamnist,"[(4, 6)]",linear,0.8231837606837606,0.0091125652292906,1,2,4,identity,0.8274572649572649,0.00882623485142
google/vit-base-patch16-224,dermamnist,"[(4, 6)]",linear,0.7554447215295096,0.0107704500992488,1,2,4,identity,0.7519534497090606,0.0082608533657887
google/vit-base-patch16-224,cifar100,"[(4, 6)]",linear,0.7453666666666666,0.0045720163312627,1,2,4,identity,0.7098,0.0003605551275463
google/vit-base-patch16-224,imagenet-1k,"[(4, 6)]",linear,0.6111333333333334,0.0038591881702416,1,2,4,identity,0.6415333333333333,0.0015307950004273
google/vit-large-patch16-224,pneumoniamnist,"[(4, 6)]",linear,0.8536324786324787,0.0130521279090498,1,2,4,identity,0.8552350427350427,0.0160523282065349
google/vit-large-patch16-224,dermamnist,"[(4, 6)]",linear,0.7293433083956775,0.0126700308450591,1,2,4,identity,0.7486284289276807,0.0065220433070433
google/vit-large-patch16-224,cifar100,"[(4, 6)]",linear,0.5718,0.0115052162083117,1,2,4,identity,0.7785666666666667,0.0026689573494781
google/vit-large-patch16-224,imagenet-1k,"[(4, 6)]",linear,0.3089666666666666,0.004382160806421,1,2,4,identity,0.7435999999999999,0.0026229754097208
microsoft/rad-dino,pneumoniamnist,"[(4, 6)]",linear,0.8771367521367521,0.000925240816009,1,2,4,identity,0.8728632478632479,0.0184352926567707
microsoft/rad-dino,dermamnist,"[(4, 6)]",linear,0.7042394014962593,0.0076782066425639,1,2,4,identity,0.7072319201995012,0.007547504214674
microsoft/rad-dino,cifar100,"[(4, 6)]",linear,0.3001666666666667,0.0025324559884296,1,2,4,identity,0.3119666666666666,0.0053519466863313
microsoft/rad-dino,imagenet-1k,"[(4, 6)]",linear,0.0773666666666666,0.0021962088546705,1,2,4,identity,0.0787333333333333,0.0018009256878986
facebook/deit-base-patch16-224,pneumoniamnist,"[(5, 7)]",linear,0.8173076923076924,0.0157834259644168,1,2,5,identity,0.8162393162393163,0.0092524081600901
facebook/deit-base-patch16-224,dermamnist,"[(5, 7)]",linear,0.7453034081463009,0.0094937932071615,1,2,5,identity,0.7310058187863674,0.004740341622405
facebook/deit-base-patch16-224,imagenet-1k,"[(5, 7)]",linear,0.6972999999999999,0.0003605551275463,1,2,5,identity,0.7035,0.0001999999999999
