model,dataset,head_dict,total_heads_kept,accuracy_mean,accuracy_std,threshold,attention_head_saving,model_size
facebook/dinov2-base,cifar100,"{0: [0], 1: [0, 1, 2, 3], 2: [0], 3: [0, 1], 4: [0, 3, 7], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",18,0.09573333333333334,0.008545369116271889,0.2,24.696,61.304
facebook/dinov2-base,cifar100,"{0: [0, 6, 7], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 8], 4: [0, 1, 3, 7], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",23,0.0966,0.008742997197757752,0.25,23.716,62.284
facebook/dinov2-base,cifar100,"{0: [0, 6, 7], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 3, 7, 8], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",26,0.09823333333333334,0.011359724175055184,0.3,23.128,62.872
facebook/dinov2-base,cifar100,"{0: [0, 2, 6, 7], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 3, 6], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",26,0.09899999999999999,0.014310485666112113,0.35,23.128,62.872
facebook/dinov2-base,cifar100,"{0: [0, 2, 6, 7], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 7], 5: [0], 6: [0], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",28,0.0954,0.009340235543068497,0.4,22.736,63.263999999999996
facebook/dinov2-base,cifar100,"{0: [0, 2, 6, 7], 1: [0, 1, 2, 3, 5], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 7], 5: [0], 6: [0, 1], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",30,0.09249999999999999,0.014226383939708646,0.45,22.344,63.656
facebook/dinov2-base,cifar100,"{0: [0, 2, 6, 7, 9], 1: [0, 1, 2, 3, 5], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0], 6: [0, 1, 5], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",34,0.09253333333333334,0.010598742063723096,0.5,21.560000000000002,64.44
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 9], 1: [0, 1, 2, 3, 5, 11], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3], 6: [0, 1, 5], 7: [0, 4, 6], 8: [0], 9: [0], 10: [0], 11: [0]}",38,0.10006666666666668,0.013838472940802876,0.55,20.776,65.224
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 9], 1: [0, 1, 2, 3, 5, 8], 2: [0, 2, 8], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3, 5], 6: [0, 1, 5], 7: [0, 3, 4, 6], 8: [0], 9: [0], 10: [0], 11: [0]}",41,0.09703333333333335,0.02244378161837558,0.6,20.188000000000002,65.812
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 9], 1: [0, 1, 2, 3, 4, 5, 8], 2: [0, 2, 8], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3, 4, 5, 10], 6: [0, 1, 5], 7: [0, 3, 4, 6, 7, 10], 8: [0], 9: [0, 11], 10: [0], 11: [0]}",47,0.1203,0.015881120867243595,0.65,19.012,66.988
facebook/dinov2-base,cifar100,"{0: [0, 1, 2, 6, 7, 9], 1: [0, 1, 2, 3, 4, 5, 8, 11], 2: [0, 2, 8], 3: [0, 1, 2, 3, 4, 6, 7, 8], 4: [0, 1, 2, 3, 4, 6, 7], 5: [0, 3, 4, 5, 6, 9, 10], 6: [0, 1, 4, 5], 7: [0, 2, 3, 4, 6, 9, 10], 8: [0, 4, 9], 9: [0, 1, 11], 10: [0, 10], 11: [0]}",59,0.17306666666666667,0.01695651300631512,0.7,16.66,69.34
