seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0, 3]}",identity,identity,0,0.0,0.9212,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0, 3]}",identity,identity,0,0.0,0.9235,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2, 4], 6: [0], 7: [0], 8: [0, 1], 9: [0, 1], 10: [0, 1, 2], 11: [0, 3, 5]}",identity,identity,0,0.0,0.9381,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2, 4], 6: [0], 7: [0], 8: [0, 1], 9: [0, 1], 10: [0, 1, 2], 11: [0, 3, 5]}",identity,identity,0,0.0,0.9359,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2, 4], 6: [0], 7: [0], 8: [0, 1], 9: [0, 1], 10: [0, 1, 2], 11: [0, 3, 5]}",identity,identity,0,0.0,0.9375,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 1, 3, 4, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3, 4], 5: [0, 1, 2, 3, 4], 6: [0, 2], 7: [0], 8: [0, 1, 2, 3, 4], 9: [0, 1, 5], 10: [0, 1, 2, 3], 11: [0, 3, 5]}",identity,identity,0,0.0,0.9436,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 1, 3, 4, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3, 4], 5: [0, 1, 2, 3, 4], 6: [0, 2], 7: [0], 8: [0, 1, 2, 3, 4], 9: [0, 1, 5], 10: [0, 1, 2, 3], 11: [0, 3, 5]}",identity,identity,0,0.0,0.9434,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 1, 3, 4, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3, 4], 5: [0, 1, 2, 3, 4], 6: [0, 2], 7: [0], 8: [0, 1, 2, 3, 4], 9: [0, 1, 5], 10: [0, 1, 2, 3], 11: [0, 3, 5]}",identity,identity,0,0.0,0.9427,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{1: [0, 1, 2, 3], 2: [0, 1, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3, 4], 6: [0, 1, 2, 3, 5], 7: [0, 3], 9: [0, 1, 2, 5], 10: [0, 1, 2, 3, 5], 11: [0, 3, 4, 5]}",identity,identity,0,0.0,0.9494,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{1: [0, 1, 2, 3], 2: [0, 1, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3, 4], 6: [0, 1, 2, 3, 5], 7: [0, 3], 9: [0, 1, 2, 5], 10: [0, 1, 2, 3, 5], 11: [0, 3, 4, 5]}",identity,identity,0,0.0,0.945,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{1: [0, 1, 2, 3], 2: [0, 1, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3, 4], 6: [0, 1, 2, 3, 5], 7: [0, 3], 9: [0, 1, 2, 5], 10: [0, 1, 2, 3, 5], 11: [0, 3, 4, 5]}",identity,identity,0,0.0,0.9525,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{3: [0, 1, 3, 4, 5], 4: [0, 1, 2, 3, 4], 7: [0, 1, 2, 3], 9: [0, 1, 2, 4, 5], 11: [0, 3, 4, 5]}",identity,identity,0,0.0,0.963,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{3: [0, 1, 3, 4, 5], 4: [0, 1, 2, 3, 4], 7: [0, 1, 2, 3], 9: [0, 1, 2, 4, 5], 11: [0, 3, 4, 5]}",identity,identity,0,0.0,0.9616,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{3: [0, 1, 3, 4, 5], 4: [0, 1, 2, 3, 4], 7: [0, 1, 2, 3], 9: [0, 1, 2, 4, 5], 11: [0, 3, 4, 5]}",identity,identity,0,0.0,0.9633,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{7: [0, 1, 2, 3, 4], 11: [0, 1, 3, 4, 5]}",identity,identity,0,0.0,0.9622,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{7: [0, 1, 2, 3, 4], 11: [0, 1, 3, 4, 5]}",identity,identity,0,0.0,0.9579,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{7: [0, 1, 2, 3, 4], 11: [0, 1, 3, 4, 5]}",identity,identity,0,0.0,0.9635,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{7: [0, 1, 2, 3, 4]}",identity,identity,0,0.0,0.9629,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{7: [0, 1, 2, 3, 4]}",identity,identity,0,0.0,0.9581,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{7: [0, 1, 2, 3, 4]}",identity,identity,0,0.0,0.964,0.0,500
1,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0], 2: [0, 1], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0, 2], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.7126,0.2964,0.4162,500
2,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0], 2: [0, 1], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0, 2], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.7128,0.2955,0.4173,500
3,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0], 2: [0, 1], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0, 2], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.712,0.2897,0.4222999999999999,500
1,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0], 2: [0, 1, 2, 4], 3: [0], 4: [0, 3], 5: [0], 6: [0], 7: [0, 2], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.7126,0.3353,0.3773,500
2,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0], 2: [0, 1, 2, 4], 3: [0], 4: [0, 3], 5: [0], 6: [0], 7: [0, 2], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.7128,0.3394,0.3734,500
3,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0], 2: [0, 1, 2, 4], 3: [0], 4: [0, 3], 5: [0], 6: [0], 7: [0, 2], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.712,0.3272,0.3848,500
1,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0], 2: [0, 1, 2, 4], 3: [0], 4: [0, 3], 5: [0], 6: [0], 7: [0, 2], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.7126,0.3282,0.3844,500
