seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 5], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9629,0.9173,0.0455999999999999,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 5], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.958,0.915,0.0429999999999999,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 5], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9643,0.9211,0.0432,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 4], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9629,0.8848,0.0780999999999999,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 4], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.958,0.8703,0.0877,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 4], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9643,0.8835,0.0808000000000001,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0, 3], 4: [0, 4, 5], 5: [0, 2, 5], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9629,0.9044,0.0584999999999999,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0, 3], 4: [0, 4, 5], 5: [0, 2, 5], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.958,0.8903,0.0676999999999999,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0, 3], 4: [0, 4, 5], 5: [0, 2, 5], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9643,0.903,0.0613,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 4], 2: [0, 1, 4, 5], 3: [0, 3], 4: [0, 4, 5], 5: [0, 2, 5], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9629,0.9087,0.0542,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 4], 2: [0, 1, 4, 5], 3: [0, 3], 4: [0, 4, 5], 5: [0, 2, 5], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.958,0.8996,0.0584,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 2], 1: [0, 1, 2, 4], 2: [0, 1, 4, 5], 3: [0, 3], 4: [0, 4, 5], 5: [0, 2, 5], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.9643,0.9075,0.0568,500
