seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,num_layers,original_accuracy,accuracy,delta_acc,num_samples
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[0],0,0.8817,0.8182,0.0635,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[1],0,0.8817,0.8649,0.0168,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[2],0,0.8817,0.8677,0.014,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[3],0,0.8817,0.8837,-0.002,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[4],0,0.8817,0.8782,0.0035,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[5],0,0.8817,0.8708,0.0109,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[6],0,0.8817,0.8817,0.0,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[7],0,0.8817,0.8729,0.0088,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[8],0,0.8817,0.8728,0.0089,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[9],0,0.8817,0.8785,0.0032,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[10],0,0.8817,0.8774,0.0043,500
0,fashion-mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[11],0,0.8817,0.8848,-0.0030999999999999917,500
