seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,num_layers,original_accuracy,accuracy,delta_acc,num_samples,head_dict,mlp_mode,attn_mode
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7389,0.7389,0.0,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[1],[],0,0.7389,0.6693,0.0696,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[3, 4]",[],0,0.7389,0.7088,0.0301,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[10, 11]",[],0,0.7389,0.7117,0.0272,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[11],[],0,0.7389,0.7337,0.0051999999999999,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 4)]",[],[],2,0.7389,0.6971,0.0417999999999999,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(9, 11)]",[],[],2,0.7389,0.6951,0.0437999999999999,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(0, 1)]",[],[],1,0.7389,0.6264,0.1125,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7389,0.7341,0.0048,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7362,0.7362,0.0,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[1],[],0,0.7362,0.6684,0.0677999999999999,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[3, 4]",[],0,0.7362,0.7063,0.0298999999999999,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[10, 11]",[],0,0.7362,0.7174,0.0187999999999999,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[11],[],0,0.7362,0.7351,0.0010999999999999,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 4)]",[],[],2,0.7362,0.6962,0.0399999999999999,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(9, 11)]",[],[],2,0.7362,0.6973,0.0388999999999999,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(0, 1)]",[],[],1,0.7362,0.6255,0.1107,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7362,0.7365,-0.0003,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7372,0.7372,0.0,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[1],[],0,0.7372,0.6705,0.06669999999999998,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[3, 4]",[],0,0.7372,0.7087,0.02849999999999997,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[10, 11]",[],0,0.7372,0.7185,0.01869999999999994,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[11],[],0,0.7372,0.7391,-0.0019000000000000128,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 4)]",[],[],2,0.7372,0.6993,0.037899999999999934,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(9, 11)]",[],[],2,0.7372,0.6991,0.03809999999999991,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(0, 1)]",[],[],1,0.7372,0.6238,0.11339999999999995,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7372,0.7359,0.0012999999999999678,500,{},linear,identity
