seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,num_layers,original_accuracy,accuracy,delta_acc,num_samples
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[3, 4]",[],0,0.7362,0.6948,0.0413999999999999,500
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[10, 11]",[],0,0.7362,0.7216,0.0145999999999999,500
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[1],[],0,0.7362,0.6923,0.0438999999999999,500
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[11],[],0,0.7362,0.7375,-0.0013,500
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 4)]",[],[],2,0.7362,0.6973,0.0388999999999999,500
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(9, 11)]",[],[],2,0.7362,0.6961,0.0400999999999999,500
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(0, 1)]",[],[],1,0.7362,0.6212,0.1149999999999999,500
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7362,0.736,0.0001999999999999,500
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7372,0.7372,0.0,500
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[3, 4]",[],0,0.7372,0.7022,0.0349999999999999,500
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[10, 11]",[],0,0.7372,0.7231,0.0141,500
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[1],[],0,0.7372,0.6938,0.0433999999999999,500
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[11],[],0,0.7372,0.7384,-0.0011999999999999,500
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 4)]",[],[],2,0.7372,0.6975,0.0396999999999999,500
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(9, 11)]",[],[],2,0.7372,0.7,0.0372,500
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(0, 1)]",[],[],1,0.7372,0.6248,0.1123999999999999,500
