skip_config,accuracy_mean,accuracy_std,skip_label
"Block: 0, MLP: 0, Attn: 0",0.7374333333333333,0.0013650396819628716,0
"Block: 0, MLP: 1, Attn: 0",0.7079333333333334,0.0014153915830374562,1
"Block: 1, MLP: 0, Attn: 0",0.6975333333333333,0.0015947831618541082,1
"Block: 0, MLP: 2, Attn: 0",0.7158666666666668,0.0036501141534660995,2
"Block: 2, MLP: 0, Attn: 0",0.6971666666666666,0.0020033305601755637,2
"Block: 0, MLP: 3, Attn: 0",0.6694,0.0010535653752852712,3
"Block: 3, MLP: 0, Attn: 0",0.6252333333333333,0.0013203534880225458,3
"Block: 0, MLP: 4, Attn: 0",0.7359666666666667,0.0028023799409311674,4
"Block: 4, MLP: 0, Attn: 0",0.7355,0.0012489995996796755,4
