seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,num_layers,original_accuracy,accuracy,delta_acc,num_samples,head_dict,mlp_mode,attn_mode
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[11],0,0.7389,0.7357,0.0031999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[11],0,0.7362,0.7356,0.0005999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[11],0,0.7372,0.7331,0.0040999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7389,0.6817,0.0572,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7362,0.681,0.0551999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7372,0.6839,0.0533,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7389,0.706,0.0329,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7362,0.7087,0.0274999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7372,0.7093,0.0278999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 3)]",[],[],1,0.7389,0.7331,0.0058,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 3)]",[],[],1,0.7362,0.7355,0.0006999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 3)]",[],[],1,0.7372,0.7303,0.0069,500,{},identity,identity
