skip_config,accuracy_mean,accuracy_std
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 3, 5], MLP Mode: identity, Attn: []",0.6044666666666667,0.0006806859285554078
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 3, 5], MLP Mode: linear, Attn: []",0.5134,0.0038196858509568863
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 3], MLP Mode: identity, Attn: []",0.6142,0.004618441295502226
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 3], MLP Mode: linear, Attn: []",0.5543,0.00717147125769881
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1], MLP Mode: identity, Attn: []",0.6337333333333334,0.0037421027956663173
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1], MLP Mode: linear, Attn: []",0.5997333333333333,0.003008875759039136
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [6], MLP Mode: identity, Attn: []",0.6484666666666666,0.004483674088661323
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [6], MLP Mode: linear, Attn: []",0.6443333333333333,0.0031533051443418956
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1, 2, 3, 4]",0.4497,0.0024062418831032
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1, 3, 5]",0.6128333333333333,0.002379775899813495
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1, 3]",0.6242,0.006735725647619579
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1]",0.6433666666666666,0.0039551653989856606
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [6]",0.6475,0.003642801120017454
